step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,B_stopped,B_accumulated_waiting_time,B_average_speed,E_stopped,E_accumulated_waiting_time,E_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,1,0.0,0.0,3.1615635582187678,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,7.440333786252789,0,0.0,0.9099353625385277,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,9.891240761285209,0,0.0,0.42662218091233445,0,0.0,0.8172575215032623,0,0.0
20.0,2,7.0,0.5384615384615384,7.793800723095563,1,4.0,0.46160005125807346,1,3.0,0.30947121664416744,2,7.0
25.0,3,12.0,0.75,7.510422143392809,2,11.0,0.5467017957641664,1,5.0,0.4927769130186564,3,16.0
30.0,6,31.0,1.8235294117647058,5.5447304641311534,4,26.0,0.27258324220303004,2,8.0,0.27286410360157054,6,34.0
35.0,6,60.0,3.0,5.755524573824464,3,40.0,0.4444152612332349,3,23.0,0.4445535984424522,6,63.0
40.0,12,102.0,4.434782608695652,4.515756163262841,4,54.0,7.569125427131948e-06,6,48.0,0.10616716186511195,10,102.0
45.0,8,124.0,5.636363636363637,5.424776109894267,3,67.0,0.0,5,57.0,0.2880884532361414,8,124.0
50.0,9,164.0,7.454545454545454,6.178854990829286,3,82.0,0.14208378635881666,5,82.0,0.0030070138263377302,8,164.0
55.0,7,112.0,5.333333333333333,6.002398665177739,0,25.0,0.4971165559190034,6,112.0,0.14581988577600707,6,137.0
60.0,6,136.0,6.8,5.373723339082964,0,0.0,0.9003191446608302,6,142.0,0.27732618867029485,6,142.0
65.0,9,172.0,7.818181818181818,6.452141559174856,0,0.0,0.6090727307230435,8,175.0,0.3608104100249142,8,175.0
70.0,4,73.0,3.3181818181818183,6.237316726535261,1,2.0,0.5569130495345459,3,113.0,0.2535191927585324,4,115.0
75.0,7,96.0,4.571428571428571,6.595572095709328,2,14.0,0.5702873689475129,4,88.0,0.26882652123644785,6,102.0
80.0,7,131.0,5.954545454545454,8.024738854957514,2,24.0,0.6772332694689307,5,113.0,0.14994976097981108,7,137.0
85.0,8,168.0,8.4,5.019674544473134,3,33.0,0.16322764213009427,5,138.0,0.13813729601445643,8,171.0
90.0,12,215.0,10.238095238095237,5.0241227198728025,4,52.0,0.15115296098338624,6,166.0,7.061388305695797e-05,10,218.0
95.0,9,243.0,12.15,5.789351382945535,4,72.0,0.1840028095177361,5,174.0,0.12757032887941197,9,246.0
100.0,7,257.0,12.238095238095237,5.29250972409456,2,71.0,0.2158554977760593,5,199.0,0.13091005884005305,7,270.0
105.0,9,296.0,14.095238095238095,4.956430164832453,3,72.0,2.6991249385011214e-05,5,224.0,0.1610453029689074,8,296.0
110.0,9,336.0,14.0,6.408241185379296,3,87.0,0.0,5,249.0,0.30891976246817393,8,336.0
115.0,9,342.0,14.25,5.570468173827794,2,61.0,0.47754844792828993,7,281.0,0.09199632390644957,9,342.0
120.0,11,395.0,17.17391304347826,5.543541943125865,3,74.0,0.4736471003935134,8,321.0,0.10975719765424859,11,395.0
125.0,12,278.0,10.692307692307692,4.6078829539785024,5,91.0,0.16793589782686438,6,271.0,0.24381471885427036,11,362.0
